,Country,Climate,HouseType,RennovationDegree,Number
0,AT,N,AB,001,AT.N.AB.01.Gen.ReEx.001.001
1,AT,N,AB,002,AT.N.AB.01.Gen.ReEx.001.002
2,AT,N,AB,003,AT.N.AB.01.Gen.ReEx.001.003
3,AT,N,AB,001,AT.N.AB.02.Gen.ReEx.001.001
4,AT,N,AB,002,AT.N.AB.02.Gen.ReEx.001.002
5,AT,N,AB,003,AT.N.AB.02.Gen.ReEx.001.003
6,AT,N,AB,001,AT.N.AB.03.Gen.ReEx.001.001
7,AT,N,AB,002,AT.N.AB.03.Gen.ReEx.001.002
8,AT,N,AB,003,AT.N.AB.03.Gen.ReEx.001.003
9,AT,N,AB,001,AT.N.AB.04.Gen.ReEx.001.001
10,AT,N,AB,002,AT.N.AB.04.Gen.ReEx.001.002
11,AT,N,AB,003,AT.N.AB.04.Gen.ReEx.001.003
12,AT,N,AB,001,AT.N.AB.05.Gen.ReEx.001.001
13,AT,N,AB,002,AT.N.AB.05.Gen.ReEx.001.002
14,AT,N,AB,003,AT.N.AB.05.Gen.ReEx.001.003
15,AT,N,AB,001,AT.N.AB.06.Gen.ReEx.001.001
16,AT,N,AB,002,AT.N.AB.06.Gen.ReEx.001.002
17,AT,N,AB,003,AT.N.AB.06.Gen.ReEx.001.003
18,AT,N,AB,001,AT.N.AB.07.Gen.ReEx.001.001
19,AT,N,AB,002,AT.N.AB.07.Gen.ReEx.001.002
20,AT,N,AB,003,AT.N.AB.07.Gen.ReEx.001.003
21,AT,N,AB,001,AT.N.AB.08.Gen.ReEx.001.001
22,AT,N,AB,002,AT.N.AB.08.Gen.ReEx.001.002
23,AT,N,AB,003,AT.N.AB.08.Gen.ReEx.001.003
24,AT,N,MFH,001,AT.N.MFH.01.Gen.ReEx.001.001
25,AT,N,MFH,002,AT.N.MFH.01.Gen.ReEx.001.002
26,AT,N,MFH,003,AT.N.MFH.01.Gen.ReEx.001.003
27,AT,N,MFH,001,AT.N.MFH.02.Gen.ReEx.001.001
28,AT,N,MFH,002,AT.N.MFH.02.Gen.ReEx.001.002
29,AT,N,MFH,003,AT.N.MFH.02.Gen.ReEx.001.003
30,AT,N,MFH,001,AT.N.MFH.03.Gen.ReEx.001.001
31,AT,N,MFH,002,AT.N.MFH.03.Gen.ReEx.001.002
32,AT,N,MFH,003,AT.N.MFH.03.Gen.ReEx.001.003
33,AT,N,MFH,001,AT.N.MFH.04.Gen.ReEx.001.001
34,AT,N,MFH,002,AT.N.MFH.04.Gen.ReEx.001.002
35,AT,N,MFH,003,AT.N.MFH.04.Gen.ReEx.001.003
36,AT,N,MFH,001,AT.N.MFH.05.Gen.ReEx.001.001
37,AT,N,MFH,002,AT.N.MFH.05.Gen.ReEx.001.002
38,AT,N,MFH,003,AT.N.MFH.05.Gen.ReEx.001.003
39,AT,N,MFH,001,AT.N.MFH.06.Gen.ReEx.001.001
40,AT,N,MFH,002,AT.N.MFH.06.Gen.ReEx.001.002
41,AT,N,MFH,003,AT.N.MFH.06.Gen.ReEx.001.003
42,AT,N,MFH,001,AT.N.MFH.07.Gen.ReEx.001.001
43,AT,N,MFH,002,AT.N.MFH.07.Gen.ReEx.001.002
44,AT,N,MFH,003,AT.N.MFH.07.Gen.ReEx.001.003
45,AT,N,MFH,001,AT.N.MFH.08.Gen.ReEx.001.001
46,AT,N,MFH,002,AT.N.MFH.08.Gen.ReEx.001.002
47,AT,N,MFH,003,AT.N.MFH.08.Gen.ReEx.001.003
48,AT,N,SFH,001,AT.N.SFH.01.Gen.ReEx.001.001
49,AT,N,SFH,002,AT.N.SFH.01.Gen.ReEx.001.002
50,AT,N,SFH,003,AT.N.SFH.01.Gen.ReEx.001.003
51,AT,N,SFH,001,AT.N.SFH.02.Gen.ReEx.001.001
52,AT,N,SFH,002,AT.N.SFH.02.Gen.ReEx.001.002
53,AT,N,SFH,003,AT.N.SFH.02.Gen.ReEx.001.003
54,AT,N,SFH,001,AT.N.SFH.03.Gen.ReEx.001.001
55,AT,N,SFH,002,AT.N.SFH.03.Gen.ReEx.001.002
56,AT,N,SFH,003,AT.N.SFH.03.Gen.ReEx.001.003
57,AT,N,SFH,001,AT.N.SFH.04.Gen.ReEx.001.001
58,AT,N,SFH,002,AT.N.SFH.04.Gen.ReEx.001.002
59,AT,N,SFH,003,AT.N.SFH.04.Gen.ReEx.001.003
60,AT,N,SFH,001,AT.N.SFH.05.Gen.ReEx.001.001
61,AT,N,SFH,002,AT.N.SFH.05.Gen.ReEx.001.002
62,AT,N,SFH,003,AT.N.SFH.05.Gen.ReEx.001.003
63,AT,N,SFH,001,AT.N.SFH.06.Gen.ReEx.001.001
64,AT,N,SFH,002,AT.N.SFH.06.Gen.ReEx.001.002
65,AT,N,SFH,003,AT.N.SFH.06.Gen.ReEx.001.003
66,AT,N,SFH,001,AT.N.SFH.07.Gen.ReEx.001.001
67,AT,N,SFH,002,AT.N.SFH.07.Gen.ReEx.001.002
68,AT,N,SFH,003,AT.N.SFH.07.Gen.ReEx.001.003
69,AT,N,SFH,001,AT.N.SFH.08.Gen.ReEx.001.001
70,AT,N,SFH,002,AT.N.SFH.08.Gen.ReEx.001.002
71,AT,N,SFH,003,AT.N.SFH.08.Gen.ReEx.001.003
72,AT,N,TH,001,AT.N.TH.01.Gen.ReEx.001.001
73,AT,N,TH,002,AT.N.TH.01.Gen.ReEx.001.002
74,AT,N,TH,003,AT.N.TH.01.Gen.ReEx.001.003
75,AT,N,TH,001,AT.N.TH.02.Gen.ReEx.001.001
76,AT,N,TH,002,AT.N.TH.02.Gen.ReEx.001.002
77,AT,N,TH,003,AT.N.TH.02.Gen.ReEx.001.003
78,AT,N,TH,001,AT.N.TH.03.Gen.ReEx.001.001
79,AT,N,TH,002,AT.N.TH.03.Gen.ReEx.001.002
80,AT,N,TH,003,AT.N.TH.03.Gen.ReEx.001.003
81,AT,N,TH,001,AT.N.TH.04.Gen.ReEx.001.001
82,AT,N,TH,002,AT.N.TH.04.Gen.ReEx.001.002
83,AT,N,TH,003,AT.N.TH.04.Gen.ReEx.001.003
84,AT,N,TH,001,AT.N.TH.05.Gen.ReEx.001.001
85,AT,N,TH,002,AT.N.TH.05.Gen.ReEx.001.002
86,AT,N,TH,003,AT.N.TH.05.Gen.ReEx.001.003
87,AT,N,TH,001,AT.N.TH.06.Gen.ReEx.001.001
88,AT,N,TH,002,AT.N.TH.06.Gen.ReEx.001.002
89,AT,N,TH,003,AT.N.TH.06.Gen.ReEx.001.003
90,AT,N,TH,001,AT.N.TH.07.Gen.ReEx.001.001
91,AT,N,TH,002,AT.N.TH.07.Gen.ReEx.001.002
92,AT,N,TH,003,AT.N.TH.07.Gen.ReEx.001.003
93,AT,N,TH,001,AT.N.TH.08.Gen.ReEx.001.001
94,AT,N,TH,002,AT.N.TH.08.Gen.ReEx.001.002
95,AT,N,TH,003,AT.N.TH.08.Gen.ReEx.001.003
96,BE,N,AB,001,BE.N.AB.02.Gen.ReEx.001.001
97,BE,N,AB,002,BE.N.AB.02.Gen.ReEx.001.002
98,BE,N,AB,003,BE.N.AB.02.Gen.ReEx.001.003
99,BE,N,AB,001,BE.N.AB.03.Gen.ReEx.001.001
100,BE,N,AB,002,BE.N.AB.03.Gen.ReEx.001.002
101,BE,N,AB,003,BE.N.AB.03.Gen.ReEx.001.003
102,BE,N,AB,001,BE.N.AB.04.Gen.ReEx.001.001
103,BE,N,AB,002,BE.N.AB.04.Gen.ReEx.001.002
104,BE,N,AB,003,BE.N.AB.04.Gen.ReEx.001.003
105,BE,N,AB,001,BE.N.AB.05.Gen.ReEx.001.001
106,BE,N,AB,003,BE.N.AB.05.Gen.ReEx.001.003
107,BE,N,AB,001,BE.N.AB.06.Gen.ReEx.001.001
108,BE,N,AB,002,BE.N.AB.06.Gen.ReEx.001.002
109,BE,N,AB,003,BE.N.AB.06.Gen.ReEx.001.003
110,BE,N,MFH,001,BE.N.MFH.01.Gen.ReEx.001.001
111,BE,N,MFH,002,BE.N.MFH.01.Gen.ReEx.001.002
112,BE,N,MFH,003,BE.N.MFH.01.Gen.ReEx.001.003
113,BE,N,MFH,001,BE.N.MFH.02.Gen.ReEx.001.001
114,BE,N,MFH,002,BE.N.MFH.02.Gen.ReEx.001.002
115,BE,N,MFH,003,BE.N.MFH.02.Gen.ReEx.001.003
116,BE,N,MFH,001,BE.N.MFH.03.Gen.ReEx.001.001
117,BE,N,MFH,002,BE.N.MFH.03.Gen.ReEx.001.002
118,BE,N,MFH,003,BE.N.MFH.03.Gen.ReEx.001.003
119,BE,N,MFH,001,BE.N.MFH.04.Gen.ReEx.001.001
120,BE,N,MFH,002,BE.N.MFH.04.Gen.ReEx.001.002
121,BE,N,MFH,003,BE.N.MFH.04.Gen.ReEx.001.003
122,BE,N,MFH,001,BE.N.MFH.05.Gen.ReEx.001.001
123,BE,N,MFH,003,BE.N.MFH.05.Gen.ReEx.001.003
124,BE,N,MFH,001,BE.N.MFH.06.Gen.ReEx.001.001
125,BE,N,MFH,002,BE.N.MFH.06.Gen.ReEx.001.002
126,BE,N,MFH,003,BE.N.MFH.06.Gen.ReEx.001.003
127,BE,N,SFH,001,BE.N.SFH.01.Gen.ReEx.001.001
128,BE,N,SFH,002,BE.N.SFH.01.Gen.ReEx.001.002
129,BE,N,SFH,003,BE.N.SFH.01.Gen.ReEx.001.003
130,BE,N,SFH,001,BE.N.SFH.02.Gen.ReEx.001.001
131,BE,N,SFH,002,BE.N.SFH.02.Gen.ReEx.001.002
132,BE,N,SFH,003,BE.N.SFH.02.Gen.ReEx.001.003
133,BE,N,SFH,001,BE.N.SFH.03.Gen.ReEx.001.001
134,BE,N,SFH,002,BE.N.SFH.03.Gen.ReEx.001.002
135,BE,N,SFH,003,BE.N.SFH.03.Gen.ReEx.001.003
